Endereço,Rua,Área (m²),Preço
"Mangabeira, Eusébio",Rua Olho d'Água,200 m²,R$ 216.400
"Pires Façanha, Eusébio",Rua da Granja,9600 m²,R$ 1.152.000
"Vereda Tropical, Eusébio",Avenida Noé Leite de Freitas,210 m²,R$ 220.000
"Santo Antonio, Eusébio",Avenida Atlântica,278 m²,R$ 245.000
"Mangabeira, Eusébio",Rua Valdomiro de Abreu Lima,259 m²,R$ 120.000
"Coité, Eusébio",,150 m²,R$ 144.671
"Pires Façanha, Eusébio",Rua Francisco Océlio Simões Tavares,229 m²,R$ 229.940
"Cidade Alpha, Eusébio",Avenida Atlântica,Casa de condomínio para comprar com 336 m²,R$ 299.990
"Centro, Eusébio",,312 m²,R$ 199.000
"Olho D'água, Eusébio",Rua Olho d'Água,200 m²,R$ 216.400
"Coité, Eusébio",Rua Professor Daniello Dias,150 m²,R$ 127.000
"Guaribas, Eusébio",Avenida Eusébio de Queiroz,510 m²,R$ 2.200.000
"Coité, Eusébio",Rua Professor Daniello Dias,151 m²,R$ 140.000
"Cidade Alpha, Eusébio",Estrada Jaboti Eusébio,275 m²,R$ 254.900
"Coité, Eusébio",,275 m²,R$ 157.000
"Urucunema, Eusébio",Avenida Coronel Cícero Sá,307 m²,R$ 230.000
"Cidade Alpha, Eusébio",Avenida José Amora Sá,355 m²,R$ 285.000
"Centro, Eusébio",Avenida Coronel Cícero de Sá,312 m²,R$ 240.000
"Coité, Eusébio",,285 m²,R$ 230.000
"Coité, Eusébio",Rua Alisson Silva dos Santos,175 m²,R$ 110.000
"Mangabeira, Eusébio",Rua Valdomiro de Abreu Lima,252 m²,R$ 135.000
"Cidade Alpha, Eusébio",Avenida José Amora Sá,450 m²,R$ 450.000
"Coité, Eusébio",Rua Alisson Silva dos Santos,150 m²,R$ 160.000
"Tamatanduba, Eusébio",Avenida das Mangueiras,450 m²,R$ 170.000
"Coité, Eusébio",,285 m²,R$ 220.000
"Precabura, Eusébio",Rua 11,735 m²,R$ 159.000
"Mangabeira, Eusébio",Rua Valdomiro de Abreu Lima,252 m²,R$ 85.000
"Cidade Alpha, Eusébio",Rodovia Quarto Anel Viário,317 m²,R$ 260.000
"Urucunema, Eusébio",Avenida Coronel Cícero Sá,303 m²,R$ 220.000
"Cidade Alpha, Eusébio",Avenida José Amora Sá,275 m²,R$ 225.000
